,reliable_sensor1,reliable_sensor2,reliable_sensor3,reliable_sensor4,unreliable_sensor1,unreliable_sensor2,unreliable_sensor3,unreliable_sensor4,robot1,robot2,door_sensor1,door_sensor2,door_sensor3,door_sensor4,time,electricity_price,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,c1,c2,c3,c4,o1,outside
25,motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('c2', 0)","('c3', 2)",0,0,0,0,08:06:30,0.8858423808639998,0,0,1,0,0,0,0,0,0,5,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,2,1,0
26,motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('c2', 0)","('c3', 1)",0,0,0,0,08:06:45,0.8858423808639998,0,0,1,0,0,0,0,0,0,5,1,0,0,0,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,3,0,0
27,motion,no motion,no motion,motion,no motion,motion,no motion,no motion,"('c2', 1)","('c3', 2)",0,0,0,1,08:07:00,0.8681255332467198,0,0,1,0,0,0,0,0,0,5,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,2,1,0,0
28,motion,motion,no motion,motion,motion,motion,no motion,no motion,"('c2', 1)","('c3', 1)",0,0,0,0,08:07:15,0.8858423808639998,0,0,1,0,1,0,0,0,0,5,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,1,1,0,0
29,motion,motion,no motion,motion,no motion,motion,no motion,no motion,"('c2', 0)","('r18', 1)",0,1,0,0,08:07:30,0.8681255332467198,0,0,1,0,1,0,0,0,0,5,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,1,1,0,0
30,motion,motion,no motion,motion,no motion,motion,no motion,no motion,"('c4', 1)","('c3', 1)",0,0,0,0,08:07:45,0.8858423808639998,0,0,1,0,0,0,0,0,1,5,1,0,0,0,2,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,1,1,0,0
31,motion,no motion,motion,motion,no motion,motion,motion,no motion,"('r29', 0)","('c3', 1)",1,0,1,1,08:08:00,0.8681255332467198,0,0,1,0,0,1,0,1,0,4,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,2,0,0
32,motion,no motion,no motion,motion,no motion,motion,no motion,no motion,"('r30', 0)","('c3', 2)",0,0,0,0,08:08:15,0.8681255332467198,0,0,1,1,0,1,0,0,0,3,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,2,2,0,0
33,motion,motion,no motion,motion,motion,motion,no motion,no motion,"('r29', 0)","('r21', 0)",0,0,0,0,08:08:30,0.8681255332467198,0,1,1,0,1,1,0,0,0,3,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,2,0,0
34,motion,motion,no motion,motion,no motion,motion,motion,no motion,"('r30', 0)","('r21', 0)",1,0,0,0,08:08:45,0.8858423808639998,1,0,1,0,1,1,0,1,0,3,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,2,0,0
35,motion,motion,no motion,motion,no motion,no motion,motion,no motion,"('r30', 0)","('r21', 0)",0,0,0,0,08:09:00,0.9039207967999998,1,0,1,1,1,1,0,0,0,3,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,2,0,0
36,motion,motion,no motion,motion,no motion,no motion,motion,no motion,"('r29', 0)","('r21', 0)",1,0,0,0,08:09:15,0.9039207967999998,1,1,1,0,0,1,0,1,0,3,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,2,0,0
37,motion,no motion,no motion,motion,no motion,motion,motion,no motion,"('r29', 0)","('r21', 0)",0,0,0,0,08:09:30,0.8858423808639998,2,0,1,1,0,1,0,0,0,3,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,2,0,0
38,motion,no motion,no motion,motion,no motion,no motion,motion,no motion,"('r30', 0)","('r21', 0)",0,0,0,0,08:09:45,0.8858423808639998,2,0,0,0,0,0,1,1,0,3,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,2,0,0
39,motion,no motion,no motion,motion,no motion,motion,motion,no motion,"('r30', 0)","('r21', 0)",1,0,0,0,08:10:00,0.8681255332467198,1,0,1,0,0,0,1,0,1,3,1,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,2,0,0
40,no motion,motion,no motion,motion,no motion,motion,motion,no motion,"('r30', 0)","('r21', 0)",0,0,1,0,08:10:15,0.8681255332467198,0,0,2,0,1,0,1,0,0,3,1,0,0,0,2,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,2,2,0,0
41,motion,motion,motion,motion,no motion,motion,no motion,no motion,"('r30', 0)","('c3', 1)",0,0,0,0,08:10:30,0.8681255332467198,0,0,1,0,1,0,2,0,0,3,1,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,2,0,0
42,motion,motion,motion,motion,motion,motion,no motion,no motion,"('r29', 0)","('r20', 0)",0,0,0,0,08:10:45,0.8507630225817854,0,0,1,0,0,0,2,0,0,3,1,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,2,1,0
43,motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('r30', 0)","('c3', 1)",0,1,0,0,08:11:00,0.8681255332467198,0,0,2,0,0,0,1,0,0,3,1,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,2,1,0
44,motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('r30', 0)","('r19', 2)",0,0,1,0,08:11:15,0.8507630225817854,0,0,2,0,0,0,1,0,0,3,1,0,0,0,2,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,2,1,0
45,motion,no motion,motion,motion,motion,motion,no motion,no motion,"('r30', 0)","('r19', 2)",0,0,0,0,08:11:30,0.8507630225817854,0,0,3,0,0,0,0,0,0,3,1,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,2,1,0
46,motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('r30', 0)","('c3', 1)",0,0,0,0,08:11:45,0.8507630225817854,0,0,3,0,0,0,0,0,0,3,1,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,3,1,0
47,motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('r29', 0)","('r20', 0)",0,1,0,0,08:12:00,0.8507630225817854,0,0,3,0,0,0,0,0,0,2,1,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,3,0
48,motion,motion,no motion,motion,motion,motion,no motion,no motion,"('r30', 0)","('c3', 0)",0,0,0,0,08:12:15,0.8681255332467198,0,0,2,0,1,0,1,0,0,2,1,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,2,0
49,motion,motion,no motion,motion,motion,motion,no motion,no motion,"('r29', 0)","('c3', 1)",0,0,0,0,08:12:30,0.8507630225817854,0,0,2,0,1,0,1,0,0,2,1,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,3,1,0
50,motion,motion,no motion,motion,motion,motion,no motion,no motion,"('r29', 0)","('o1', 1)",0,0,0,0,08:12:45,0.8681255332467198,0,0,2,0,0,0,1,0,1,2,1,0,0,0,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0
51,motion,no motion,no motion,motion,motion,no motion,no motion,no motion,"('c4', 3)","('c3', 0)",0,0,0,0,08:13:00,0.8681255332467198,0,0,2,0,0,0,1,0,0,2,1,0,1,0,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,2,0
52,motion,no motion,no motion,motion,motion,no motion,no motion,motion,"('c2', 0)","('r21', 0)",0,0,0,0,08:13:15,0.8507630225817854,0,0,2,0,0,0,1,0,0,2,1,0,0,0,2,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,2,0
53,motion,no motion,no motion,motion,motion,motion,no motion,motion,"('c2', 0)","('c3', 1)",0,0,0,0,08:13:30,0.8337477621301497,0,0,2,0,0,0,1,0,0,2,1,0,0,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,1,0
54,motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('c2', 0)","('o1', 1)",0,0,0,0,08:13:45,0.8337477621301497,0,0,3,0,0,0,0,0,0,2,1,0,0,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,1,0
55,motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('c2', 0)","('o1', 1)",0,0,0,0,08:14:00,0.8507630225817854,0,0,3,0,0,0,0,0,0,2,1,0,0,0,2,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,1,0
56,motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('c2', 0)","('o1', 1)",0,0,0,0,08:14:15,0.8507630225817854,0,0,3,0,0,0,0,0,0,3,1,0,0,0,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,1,0
57,motion,no motion,motion,motion,motion,motion,no motion,no motion,"('c1', 0)","('o1', 2)",0,0,0,0,08:14:30,0.8337477621301497,0,0,2,0,0,0,1,0,0,3,1,0,0,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,2,0
58,motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('c1', 0)","('c3', 2)",0,0,0,0,08:14:45,0.8337477621301497,0,0,1,0,0,0,2,0,0,3,1,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3,2,0
59,no motion,no motion,no motion,motion,motion,motion,no motion,motion,"('c1', 0)","('r19', 2)",0,0,0,0,08:15:00,0.8507630225817854,0,0,1,0,0,0,2,0,0,3,1,0,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,2,0
60,no motion,no motion,no motion,motion,motion,no motion,no motion,no motion,"('c1', 0)","('c3', 0)",0,0,0,0,08:15:15,0.8681255332467198,0,0,1,0,0,0,2,0,0,3,1,0,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,2,0
61,no motion,no motion,no motion,motion,motion,motion,motion,no motion,"('c2', 2)","('c3', 0)",0,0,0,0,08:15:30,0.8507630225817854,1,0,0,0,0,0,2,0,0,3,1,0,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,3,1,0
62,no motion,no motion,no motion,motion,motion,no motion,no motion,no motion,"('c2', 2)","('c3', 0)",0,0,0,0,08:15:45,0.8337477621301497,0,1,0,0,0,0,2,0,0,3,1,0,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,3,1,0
63,no motion,no motion,no motion,motion,motion,motion,no motion,motion,"('c1', 1)","('r18', 0)",0,1,0,0,08:16:00,0.8337477621301497,0,0,0,1,0,0,2,0,0,3,1,0,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,3,0,0
64,no motion,no motion,no motion,motion,motion,no motion,no motion,no motion,"('c1', 2)","('r18', 0)",0,1,0,0,08:16:15,0.8337477621301497,0,0,0,1,0,0,2,0,0,3,1,0,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,3,1,0
65,no motion,no motion,no motion,motion,motion,no motion,no motion,no motion,"('c1', 2)","('r18', 0)",0,0,0,0,08:16:30,0.8337477621301497,0,0,0,1,0,0,2,0,0,3,1,0,0,0,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,3,1,0
66,no motion,no motion,motion,motion,motion,no motion,motion,no motion,"('c1', 1)","('c3', 1)",0,0,0,0,08:16:45,0.8170728068875467,0,0,0,1,0,0,2,0,0,3,1,0,0,0,2,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,3,1,0
67,no motion,no motion,motion,motion,motion,no motion,no motion,no motion,"('c1', 0)","('r16', 0)",0,0,0,0,08:17:00,0.8337477621301497,0,0,1,1,0,0,2,0,0,3,1,0,0,0,2,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0
68,no motion,no motion,no motion,motion,motion,motion,motion,no motion,"('c1', 0)","('c3', 1)",0,0,2,0,08:17:15,0.8337477621301497,1,0,0,1,0,0,2,0,0,3,1,0,0,0,2,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,3,1,0
69,no motion,no motion,motion,motion,motion,motion,motion,motion,"('c1', 2)","('c3', 0)",0,0,0,0,08:17:30,0.8170728068875467,1,0,0,1,0,0,1,0,0,3,1,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,3,2,0
70,no motion,motion,no motion,motion,motion,motion,motion,no motion,"('c1', 2)","('r20', 0)",0,0,0,0,08:17:45,0.8170728068875467,0,1,0,1,0,0,1,0,0,3,1,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,3,0
71,no motion,no motion,no motion,motion,motion,motion,motion,no motion,"('c1', 2)","('c3', 1)",0,0,0,0,08:18:00,0.8170728068875467,0,0,0,1,0,0,1,1,0,3,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,2,2,0
72,no motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('c1', 1)","('r21', 0)",1,1,0,0,08:18:15,0.8337477621301497,0,0,0,1,0,0,1,0,1,3,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,2,3,0
73,no motion,no motion,no motion,motion,motion,no motion,no motion,no motion,"('c1', 1)","('r21', 0)",1,0,0,0,08:18:30,0.8170728068875467,0,0,0,0,0,0,1,0,2,3,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,3,2,0
74,no motion,motion,no motion,motion,motion,motion,no motion,no motion,"('c1', 0)","('c3', 1)",0,0,0,0,08:18:45,0.8007313507497957,0,0,1,0,1,0,1,0,1,3,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,3,1,0
75,no motion,motion,no motion,motion,motion,motion,no motion,no motion,"('c1', 1)","('r19', 1)",0,1,0,0,08:19:00,0.7847167237347998,0,0,1,0,1,0,1,0,1,3,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,4,1,0
76,no motion,no motion,no motion,motion,motion,motion,no motion,no motion,"('c1', 1)","('r19', 1)",0,0,0,0,08:19:15,0.8007313507497957,1,0,0,0,0,0,1,0,1,3,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,3,2,0
77,no motion,no motion,motion,motion,motion,motion,motion,no motion,"('c1', 0)","('r19', 1)",0,0,0,0,08:19:30,0.7847167237347998,1,0,0,0,0,0,1,0,1,3,1,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,3,2,0
78,no motion,no motion,motion,motion,motion,motion,motion,no motion,"('c1', 0)","('r19', 1)",0,0,1,0,08:19:45,0.7847167237347998,1,0,0,0,0,0,1,0,1,3,1,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,2,2,0
79,no motion,no motion,no motion,motion,motion,motion,motion,no motion,"('c1', 0)","('c3', 2)",0,0,0,0,08:20:00,0.8007313507497957,1,0,0,0,0,0,1,0,1,3,1,0,0,0,2,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,2,1,0
80,motion,no motion,no motion,motion,motion,motion,motion,no motion,"('c1', 0)","('r20', 1)",0,0,2,0,08:20:15,0.8170728068875467,0,1,0,0,0,0,1,0,1,3,1,0,0,0,2,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0
81,motion,no motion,motion,motion,motion,no motion,motion,motion,"('c1', 0)","('r20', 1)",0,0,0,0,08:20:30,0.8007313507497957,0,0,0,1,0,0,1,0,1,3,1,0,0,0,2,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0
82,motion,no motion,motion,motion,motion,motion,no motion,no motion,"('r7', 1)","('c3', 0)",0,0,0,0,08:20:45,0.7847167237347998,0,0,0,1,0,0,1,0,1,3,1,0,0,0,2,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0
83,motion,no motion,motion,motion,motion,no motion,no motion,no motion,"('r7', 1)","('r21', 1)",0,0,0,0,08:21:00,0.8007313507497957,0,0,0,0,0,0,1,1,1,3,1,0,0,0,2,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0
84,motion,no motion,motion,motion,motion,no motion,no motion,no motion,"('r3', 0)","('c3', 0)",0,0,0,0,08:21:15,0.7847167237347998,0,0,0,0,0,0,1,1,1,3,1,0,0,0,2,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0
85,motion,no motion,motion,motion,motion,no motion,no motion,no motion,"('r7', 1)","('c3', 0)",0,0,0,0,08:21:30,0.7847167237347998,0,0,0,0,0,0,1,1,1,3,1,0,0,0,2,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0
86,motion,no motion,motion,motion,motion,motion,motion,no motion,"('c1', 0)","('c3', 0)",0,0,0,0,08:21:45,0.7690223892601038,0,0,0,0,0,0,1,1,1,3,1,0,0,0,2,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0
87,motion,no motion,motion,motion,motion,no motion,no motion,motion,"('r7', 1)","('c3', 0)",0,0,0,0,08:22:00,0.7690223892601038,0,0,0,0,0,0,1,1,1,3,1,0,0,0,2,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0
